IDa	Descriptionf
D125_C	Distance_between_nuclear_gravity_center_in_mother_and_mother_hip
D128_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_tip
D130_C	Distance_between_nuclear_brightest_point_in_mother_and_middle_point_of_neck
D131_C	Distance_between_nuclear_brightest_point_in_bud_and_middle_point_of_neck
D134_C	Distance_between_two_nuclear_brightest_points_through_middle_point_of_neck
D135_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_center
D137_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_center
D139_C	Distance_between_nuclear_brightest_point_in_bud_and_bud_tip
D141_C	Distance_between_nuclear_brightest_point_in_mother_and_mother_hip
D143_C	Distance_between_nuclear_outline_point_D6-1_in_mother_and_middle_point_of_neck
D144_C	Distance_between_nuclear_outline_point_D6-2_in_bud_and_middle_point_of_neck
D145_C	Distance_between_nuclear_outline_point_D7_in_mother_and_mother_hip
D146_C	Distance_between_nuclear_outline_point_D8_in_bud_and_bud_tip
D147_C	Relative_distance_of_nuclear_gravity_center_in_mother_to_mother_center
D148_C	Relative_distance_of_nuclear_brightest_point_in_mother_to_mother_center
D149_C	Relative_distance_of_nuclear_gravity_center_in_bud_to_bud_center
D150_C	Relative_distance_of_nuclear_brightest_point_in_bud_to_bud_center
D151_C	Ratio_of_distance_between_each_nucleus_and_middle_point_of_neck
D152_C	Mobility_of_nucleus_in_mother
D153_C	Mobility_of_nucleus_in_bud
D154_C	Angle_between_C1D1-1_and_C1C1-2
D155_C	Angle_between_C1D2-1_and_C1C1-2
D156_C	Angle_between_C2D1-2_and_C2C4-2
D157_C	Angle_between_C2D2-2_and_C2C4-2
D158_C	Angle_between_D1-1D1-2_and_C1-1C1-2
D159_C	Angle_between_D2-1D2-2_and_C1-1C1-2
D162_C	Angle_between_D1-1D1-2_and_C1C4-1
D163_C	Angle_between_D2-1D2-2_and_C1C4-1
D166_C	Angle_between_D1-1D1-2_and_C4-1C4-2
D167_C	Angle_between_D2-1D2-2_and_C4-1C4-2
D169_C	Angle_between_C4-1D1-1_and_C4-1C1
D170_C	Angle_between_C4-1D2-1_and_C4-1C1
D173_C	Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_mother
D174_C	Maximal_distance_between_nuclear_gravity_center_and_nuclear_outline_in_bud
D176_C	Nuclear_long_axis_length_in_mother
D177_C	Nuclear_long_axis_length_in_bud
D179_C	Nuclear_minimum_radius_in_mother
D180_C	Nuclear_minimum_radius_in_bud
D182_C	Nuclear_axis_ratio_in_mother
D183_C	Nuclear_axis_ratio_in_bud
D185_C	Total_length_of_two_straight_segments_D11-1C4-1_and_D11-2C4-1
D186_C	Total_length_of_two_straight_segments_D12-1C4-1_and_D12-2C4-1
D188_C	Distance_between_nuclear_gravity_center_and_brightest_point_in_mother
D189_C	Distance_between_nuclear_gravity_center_and_brightest_point_in_bud
D191_C	Average_of_nuclear_brightness_in_mother
D192_C	Average_of_nuclear_brightness_in_bud
D193_C	Average_of_nuclear_brightness_in_whole_cell
D194_C	Maximal_intensity_of_nuclear_brightness_divided_by_average_in_mother
D195_C	Maximal_intensity_of_nuclear_brightness_divided_by_average_in_bud
D196_C	Maximal_intensity_of_nuclear_brightness_divided_by_average_in_whole_cell
D197_C	Ratio_of_nuclear_size
D198_C	Ratio_of_nuclear_brightness
